ANIMAL_NUMBER,SEX,DOSE_CODE,TIME_OF_TESTING,HOME_CAGE_POSTURE,PALPEBRAL_CLOSURE,EASE_OF_REMOVAL,EASE_OF_HANDLING,LACRIMATION,PALPEBRAL_CLOSURE,PILOERECTION,SALIVATION,REARS,URINATION,DEFECATION,CLONIC_CONVULSIONS,TONIC_CONVULSIONS,GAIT_SCORE,MOBILITY_SCORE,AROUSAL,VOCALIZATIONS,APPROACH_RESPONSE,TOUCH_RESPONSE,CLICK_RESPONSE,TAIL_PINCH_RESPONSE,PUPIL_RESPONSE,RIGHTING_REFLEX,FOOT_SPLAY,FORELIMB_GRIP,HINDLIMB_GRIP,BODY_WEIGHT,BODY_TEMPERATURE,AUTONOMIC_SUM,CNS_ACTIVITY_SUM,CNS_EXCITAB_SUM,NEUROMUSC_SUM,SENSORIMOTOR_SUM,PHYSIOLOGICAL_SUM
15,F,150,0,1,1,2,3,1,1,1,1,1,3,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,4,1,1,8,3,11,9,5,3
15,F,150,4,1,1,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,6,3,11,8,4,3
15,F,150,24,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,6,3,12,7,4,5
20,F,150,0,1,1,2,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,6,5,9,9,4,7
20,F,150,4,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,4,6,3,12,6,4,8
20,F,150,24,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,2,1,3,1,6,3,8,9,4,5
27,F,150,0,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,4,1,3,3,6,3,10,9,6,7
27,F,150,4,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,6,4,9,8,4,5
27,F,150,24,1,1,3,1,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,4,8,3,10,8,4,6
44,F,150,0,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,4,1,3,6,4,8,10,4,5
44,F,150,4,1,1,2,2,3,1,1,1,1,3,4,2,1,1,1,2,1,3,3,1,1,1,1,1,1,4,1,4,13,3,10,9,8,6
44,F,150,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,6,3,6,7,5,4
11,F,500,0,1,1,3,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,4,1,8,6,8,8,6,6
11,F,500,4,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,3,3,1,2,1,1,4,4,1,6,4,8,10,10,6
11,F,500,24,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,2,3,4,1,6,3,8,11,4,6
25,F,500,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,2,4,6,3,7,8,6,7
25,F,500,4,1,1,2,1,1,1,1,1,3,2,1,2,1,1,1,2,1,1,1,1,3,1,1,1,2,1,3,2,7,5,9,7,6,6
25,F,500,24,1,1,3,1,1,1,1,1,1,1,4,2,1,1,1,2,1,3,1,1,1,1,1,2,1,1,2,3,9,3,10,7,6,6
28,F,500,0,1,2,2,1,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,4,8,5,8,8,4,7
28,F,500,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,4,3,3,6,3,7,10,6,7
28,F,500,24,1,1,3,4,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,8,3,13,7,5,4
29,F,500,0,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,1,1,1,1,3,1,1,1,8,3,7,8,7,3
29,F,500,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,4,1,1,6,3,9,9,6,3
29,F,500,24,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,3,2,1,1,4,6,4,8,9,7,6
32,F,500,0,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,6,3,10,7,5,3
32,F,500,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,6,3,9,6,4,3
32,F,500,24,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,3,1,1,1,1,1,1,8,3,8,6,5,3
37,F,500,0,1,1,2,3,1,1,1,1,4,4,1,1,1,1,1,3,1,1,3,1,1,1,1,1,4,1,1,1,9,6,11,9,6,3
37,F,500,4,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,7,3,11,7,4,3
37,F,500,24,1,1,4,4,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,4,3,1,2,2,7,3,14,11,5,5
40,F,500,0,1,1,2,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,4,1,9,5,7,8,6,6
40,F,500,4,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,2,8,3,7,9,4,7
40,F,500,24,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,3,3,1,1,3,1,4,4,10,3,7,8,6,9
45,F,500,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,6,3,7,7,4,6
45,F,500,4,1,1,3,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,8,3,9,7,4,6
45,F,500,24,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,4,8,3,9,8,4,7
2,F,1500,0,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,4,1,3,6,4,8,9,8,5
2,F,1500,4,1,1,2,2,1,1,1,1,3,2,2,2,1,1,1,1,1,4,4,1,1,1,1,1,2,2,2,1,8,5,9,8,10,4
2,F,1500,24,1,1,3,4,3,1,1,1,1,1,1,2,1,1,1,2,1,1,4,1,1,1,1,1,2,1,2,3,8,3,13,7,7,6
